date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-06-09,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-10,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-11,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-12,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-15,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-16,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-17,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-18,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-19,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-23,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-24,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-25,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-26,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-29,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-06-30,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
